DRCOV VERSION: 3
DRCOV FLAVOR: drcov
Module Table: version 5, count 56
Columns: id, containing_id, start, end, entry, offset, preferred_base, checksum, timestamp, path
  0,   0, 0x0000000071000000, 0x00000000711c0000, 0x00000000710a2e70, 0000000000000000, 0x0000000071000000, 0x0019203b, 0x620aa6ec,  C:\ProjectA\DynamoRIO-Windows-9.0.1\lib64\release\dynamorio.dll
 27,  27, 0x00007ffff8530000, 0x00007ffff8623000, 0x00007ffff85564f0, 0000000000000000, 0x00007ffff8530000, 0x000ef8f3, 0xabb9b7d6,  C:\Windows\SYSTEM32\dxgi.dll
 28,  28, 0x00007ffff8920000, 0x00007ffff896e000, 0x00007ffff8929820, 0000000000000000, 0x00007ffff8920000, 0x000566bc, 0x167f2ef5,  C:\Windows\SYSTEM32\AUTHZ.dll
 29,  29, 0x00007ffff8fb0000, 0x00007ffff8fbc000, 0x00007ffff8fb1ce0, 0000000000000000, 0x00007ffff8fb0000, 0x00012761, 0xfcf57d1b,  C:\Windows\SYSTEM32\NETUTILS.DLL
 30,  30, 0x00007ffff9450000, 0x00007ffff945c000, 0x00007ffff9452200, 0000000000000000, 0x00007ffff9450000, 0x00014a16, 0x28e89a43,  C:\Windows\SYSTEM32\CRYPTBASE.DLL
 31,  31, 0x00007ffff9a50000, 0x00007ffff9a7e000, 0x00007ffff9a54f10, 0000000000000000, 0x00007ffff9a50000, 0x000362d0, 0xfa786637,  C:\Windows\SYSTEM32\USERENV.dll
 32,  32, 0x00007ffff9b50000, 0x00007ffff9b72000, 0x00007ffff9b50000, 0000000000000000, 0x00007ffff9b50000, 0x000271a6, 0x0dcd0213,  C:\Windows\System32\win32u.dll
 33,  33, 0x00007ffff9b80000, 0x00007ffff9c02000, 0x00007ffff9bb8b60, 0000000000000000, 0x00007ffff9b80000, 0x0008d6fe, 0xe9d3d417,  C:\Windows\System32\bcryptPrimitives.dll
 34,  34, 0x00007ffff9c10000, 0x00007ffff9d1b000, 0x00007ffff9c3fe90, 0000000000000000, 0x00007ffff9c10000, 0x00107e46, 0x9f9e8c90,  C:\Windows\System32\gdi32full.dll
 35,  35, 0x00007ffff9f20000, 0x00007ffffa020000, 0x00007ffff9f36110, 0000000000000000, 0x00007ffff9f20000, 0x00103e56, 0x2bd748bf,  C:\Windows\System32\ucrtbase.dll
 36,  36, 0x00007ffffa020000, 0x00007ffffa2ee000, 0x00007ffffa030710, 0000000000000000, 0x00007ffffa020000, 0x002db07f, 0x299341e8,  C:\Windows\System32\KERNELBASE.dll
 37,  37, 0x00007ffffa340000, 0x00007ffffa3dd000, 0x00007ffffa355390, 0000000000000000, 0x00007ffffa340000, 0x0009b039, 0x39255ccf,  C:\Windows\System32\msvcp_win.dll
 38,  38, 0x00007ffffa490000, 0x00007ffffa5ba000, 0x00007ffffa4b6360, 0000000000000000, 0x00007ffffa490000, 0x00134fae, 0xbc9e4cf1,  C:\Windows\System32\ole32.dll
 39,  39, 0x00007ffffa740000, 0x00007ffffa7ab000, 0x00007ffffa754300, 0000000000000000, 0x00007ffffa740000, 0x0006cf4b, 0xaff3315b,  C:\Windows\System32\WS2_32.dll
 40,  40, 0x00007ffffa7b0000, 0x00007ffffa7da000, 0x00007ffffa7b48d0, 0000000000000000, 0x00007ffffa7b0000, 0x00034a33, 0xaf7f8e80,  C:\Windows\System32\GDI32.dll
 41,  41, 0x00007ffffaa70000, 0x00007ffffac10000, 0x00007ffffaa87f30, 0000000000000000, 0x00007ffffaa70000, 0x001a9fbe, 0xe1c9e1a1,  C:\Windows\System32\USER32.dll
 42,  42, 0x00007ffffacd0000, 0x00007ffffad8d000, 0x00007fffface70d0, 0000000000000000, 0x00007ffffacd0000, 0x000c2db4, 0x4d6d72d1,  C:\Windows\System32\KERNEL32.DLL
 43,  43, 0x00007ffffaed0000, 0x00007ffffaf6c000, 0x00007ffffaeece10, 0000000000000000, 0x00007ffffaed0000, 0x0009ebc3, 0x53d57421,  C:\Windows\System32\sechost.dll
 44,  44, 0x00007ffffaf70000, 0x00007ffffb00e000, 0x00007ffffaf77850, 0000000000000000, 0x00007ffffaf70000, 0x0009e85d, 0x564f9f39,  C:\Windows\System32\msvcrt.dll
 45,  45, 0x00007ffffb5a0000, 0x00007ffffb8f4000, 0x00007ffffb695240, 0000000000000000, 0x00007ffffb5a0000, 0x003650a6, 0xafbf9ef6,  C:\Windows\System32\combase.dll
 46,  46, 0x00007ffffb900000, 0x00007ffffb9cd000, 0x00007ffffb91de00, 0000000000000000, 0x00007ffffb900000, 0x000d0679, 0x61567b6b,  C:\Windows\System32\OLEAUT32.dll
 47,  47, 0x00007ffffb9d0000, 0x00007ffffba00000, 0x00007ffffb9d14d0, 0000000000000000, 0x00007ffffb9d0000, 0x00033d33, 0x3a0e9944,  C:\Windows\System32\IMM32.DLL
 48,  48, 0x00007ffffba00000, 0x00007ffffbb25000, 0x00007ffffba5f0b0, 0000000000000000, 0x00007ffffba00000, 0x0012497d, 0x2150b8ff,  C:\Windows\System32\RPCRT4.dll
 49,  49, 0x00007ffffbb40000, 0x00007ffffbbee000, 0x00007ffffbb556f0, 0000000000000000, 0x00007ffffbb40000, 0x000ad23f, 0x41386534,  C:\Windows\System32\ADVAPI32.dll
 50,  50, 0x00007ffffbbf0000, 0x00007ffffc334000, 0x00007ffffbd013d0, 0000000000000000, 0x00007ffffbbf0000, 0x00751267, 0x70c04167,  C:\Windows\System32\SHELL32.dll
 51,  51, 0x00007ffffc430000, 0x00007ffffc628000, 0x00007ffffc430000, 0000000000000000, 0x00007ffffc430000, 0x001f4727, 0x1000a5b9,  C:\Windows\SYSTEM32\ntdll.dll
 52,  52, 0x00007ffffac20000, 0x00007ffffaccd000, 0x00007ffffac5b150, 0000000000000000, 0x00007ffffac20000, 0x000b9451, 0xecd1aa15,  C:\Windows\System32\SHCore.dll
 53,  53, 0x00007ffff9590000, 0x00007ffff95c0000, 0x00007ffff9593240, 0000000000000000, 0x00007ffff9590000, 0x00036cfd, 0x69ddac47,  C:\Windows\System32\wldp.dll
